TAG,DESCRICAO,Min,Max,UNIDADE,LL,L,H,HH
I724TY3050,TEMP AR PRIMÁRIO SAÍDA AQUECEDOR REGENERATIVO 2,50,500,°C,,,,
I724TY3106,TEMP CLASSIFICADOR MOINHO 1,50,150,°C,,70,105,120
I724TY3206,TEMP CLASSIFICADOR MOINHO 2,50,150,°C,,70,105,120
I724TY3306,TEMP CLASSIFICADOR MOINHO 3,50,150,°C,,70,105,120
I724TY3406,TEMP CLASSIFICADOR MOINHO 4,50,150,°C,,70,105,120
I726LT1001,NIVEL TANQUE RECIRCULAÇÃO SISTEMA CINZA UMIDA,"0,15","5,5",m,,4,"5,45",
I726LT1002,NIVEL BACIA CINZA A,"2,8","8,2",m,,,,
I726LT1003,NIVEL BACIA CINZA B,"2,8","8,2",m,,,,
I727FY3051,VAZÃO SUPRIMENTO ÓLEO DIESEL QUEIMADORES,0,900,l/min,,,,
I727LT1001,NÍVEL TANQUE 1 ÓLEO DIESEL,0,9,m,,,,
I727LT1002,NÍVEL TANQUE 2 ÓLEO DIESEL,0,9,m,,,,
I727PT3137,PRESSÃO DESCARGA BOMBAS INJEÇÃO ÓLEO DIESEL,0,40,bar,,,,
I727PT3148,PRESSÃO DESCARGA BOMBAS ÓLEO DIESEL IGNIÇÃO,0,16,bar,,,,
I727PT3165,PRESSÃO ÓLEO DIESEL ANTES QUEIMADORES,0,30,bar,,8,14,
I727PT3197,PRESSÃO ÓLEO DIESEL ANTES IGNITORES,0,16,bar,,5,,
I728LT3202,NÍVEL TANQUE DRENOS AQUECEDOR  AR A VAPOR,430,930,mm,,,,
I728PT3005,PRESSÃO COLETOR SOPRADORES CALDEIRA,0,40,bar,,,,
I730ST4002,VIBRAÇÃO MANCAL 1 TURBINA,0,300,µm,,,150,
I730ST4003,VIBRAÇÃO MANCAL 2 TURBINA,0,300,µm,,,150,
I730ST4004,VIBRAÇÃO MANCAL 3 TURBINA,0,300,µm,,,150,
I730ST4005,VIBRAÇÃO MANCAL 4 TURBINA,0,300,µm,,,150,
I730ST4006,VIBRAÇÃO MANCAL 5 GERADOR,0,300,µm,,,150,
I730ST4007,VIBRAÇÃO MANCAL 6 GERADOR,0,300,µm,,,150,
I730ST4012,VELOCIDADE TURBINA,0,4000,rpm,,,,
I730ST4020,VIBRAÇÃO MANCAL 7 GERADOR,0,300,µm,,,150,
I730TE4002,TEMP INTERNA METAL VV BLOQUEIO 2 TURBINA AP,0,600,°C,,,,
I730TE4004,TEMP EXTERNA METAL VV BLOQUEIO 2 TURBINA AP,0,600,°C,,,,
I730TE4026,TEMP METAL ENTRADA VV COMBINADA 1 TURBINA MP,0,600,°C,,,,
I730TE4028,TEMP METAL ENTRADA VV COMBINADA 2 TURBINA MP,0,600,°C,,,,
I730TT3006,TEMP INTERNA METAL VVS CONTROLE AP,50,600,°C,,,,
I730TT3008,TEMP EXTERNA METAL VVS CONTROLE AP,50,600,°C,,,,
I730TT3012,TEMP METAL 1º ESTÁGIO TURBINA AP,50,600,°C,,,,
I730TT3014,TEMP METAL EXAUSTÃO TURBINA AP -INFERIOR,50,600,°C,,,350,480
I730TT3016,TEMP METAL EXAUSTÃO TURBINA AP -INFERIOR,50,600,°C,,,350,480
I730TT3018,TEMP METAL EXAUSTÃO TURBINA AP -INFERIOR,50,600,°C,,,350,480
I730TT3020,TEMP METAL EXAUSTÃO TURBINA AP -INFERIOR,50,600,°C,,,350,480
I730TT3022,TEMP METAL EXAUSTÃO TURBINA AP -SUPERIOR,50,600,°C,,,350,480
I730TT3034,TEMP METAL 1º ESTÁGIO TURBINA MP,50,600,°C,,,,
I730TT3036,TEMP METAL CARCAÇA SUPERIOR  TURBINA  MP -ENTRADA,50,600,°C,,,,
I730TT3038,TEMP METAL CARCAÇA INFERIOR TURBINA MP -EXTRAÇÃO AP1,50,600,°C,,,,
I730TT3040,TEMP METAL CARCAÇA SUPERIOR TURBINA  MP -EXTRAÇÃO AP1,50,600,°C,,,,
I730TT3042,TEMP METAL CARCAÇA INFERIOR TURBINA  MP -EXTRAÇÃO  DESGASEIFICADOR,50,600,°C,,,,
I730TT3044,TEMP METAL CROSSOVER -EXTRAÇÃO  DESGASEIFICADOR,50,600,°C,,,,
I730TT3050,TEMP METAL CARCAÇA INFERIOR TURBINA BP -EXTRAÇÃO  BP4 LT,50,300,°C,,,,
I730TT3052,TEMP METAL CARCAÇA SUPERIOR TURBINA BP -EXTRAÇÃO BP4 LT,50,300,°C,,,,
I730TT3054,TEMP METAL CARCAÇA INFERIOR TURBINA  BP -EXTRAÇÃO BP4 LG,50,300,°C,,,,
I730TT3056,TEMP METAL CARCAÇA SUPERIOR TURBINA BP -EXTRAÇÃO BP4 LG,50,300,°C,,,,
I730TT3058,TEMP METAL CARCAÇA INFERIOR TURBINA BP -EXTRAÇÃO BP3 LT,50,300,°C,,,,
I730TT3060,TEMP METAL CARCAÇA SUPERIOR TURBINA BP -EXTRAÇÃO BP3 LT,50,300,°C,,,,
I730TT3062,TEMP METAL CARCAÇA INFERIOR TURBINA BP -EXTRAÇÃO BP3 LG,50,300,°C,,,,
I730TT3064,TEMP METAL CARCAÇA SUPERIOR TURBINA BP -EXTRAÇÃO BP3 LG,50,300,°C,,,,
I730TT3066,TEMP METAL CARCAÇA INFERIOR EXAUSTÃO TURBINA BP - LT,0,150,°C,,,80,110
